epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7949,1.33076,3.2516,1.77843,0.1082,0.22251,0.10446,0.04684,1.64866,2.76967,2.25656,0.000331852,0.000331852,0.000331852
2,105.534,1.24644,2.55463,1.68498,0.24928,0.41039,0.2144,0.10786,1.5648,2.32925,2.24576,0.000652015,0.000652015,0.000652015
3,156.902,1.21983,2.30067,1.65053,0.19215,0.39141,0.17921,0.08982,1.57042,2.72723,2.14305,0.000958977,0.000958977,0.000958977
4,219.631,1.19104,2.13077,1.61956,0.38329,0.49424,0.42923,0.24953,1.4195,1.92028,1.98857,0.0009406,0.0009406,0.0009406
5,289.649,1.17046,2.0103,1.5977,0.46617,0.47872,0.45622,0.27148,1.46945,1.92596,2.03541,0.0009208,0.0009208,0.0009208
6,356.469,1.14751,1.89526,1.57305,0.5268,0.4685,0.49973,0.2956,1.39543,1.81177,1.94448,0.000901,0.000901,0.000901
7,443.286,1.12281,1.81636,1.56065,0.46101,0.51283,0.45963,0.26461,1.45086,1.99227,1.98479,0.0008812,0.0008812,0.0008812
8,503.022,1.11019,1.74831,1.53853,0.64794,0.47615,0.5667,0.32831,1.43886,1.68172,2.01189,0.0008614,0.0008614,0.0008614
9,564.209,1.0873,1.64186,1.5252,0.52837,0.52064,0.56097,0.3258,1.37111,1.71781,1.98977,0.0008416,0.0008416,0.0008416
10,632.682,1.10231,1.61735,1.53071,0.68623,0.56675,0.6521,0.39962,1.36483,1.48725,1.91706,0.0008218,0.0008218,0.0008218
11,691.607,1.06177,1.55785,1.49695,0.50646,0.59513,0.59429,0.34659,1.39063,1.71132,1.93233,0.000802,0.000802,0.000802
12,753.418,1.05916,1.52851,1.49657,0.63914,0.59158,0.64888,0.38058,1.40265,1.45871,1.93122,0.0007822,0.0007822,0.0007822
13,819.887,1.04609,1.48598,1.48378,0.64927,0.5766,0.64779,0.39208,1.34011,1.45241,1.90086,0.0007624,0.0007624,0.0007624
14,874.299,1.04013,1.42374,1.4747,0.62433,0.50585,0.58405,0.3459,1.37714,1.74822,1.91659,0.0007426,0.0007426,0.0007426
15,927.015,1.02476,1.40415,1.46969,0.66815,0.62994,0.67617,0.40901,1.34236,1.40898,1.86629,0.0007228,0.0007228,0.0007228
16,978.61,0.99812,1.35579,1.44878,0.73137,0.60342,0.67314,0.42006,1.24225,1.40683,1.83047,0.000703,0.000703,0.000703
