epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1993,1.45454,3.23689,1.83076,0.62765,0.22927,0.27158,0.17532,1.39493,2.34342,1.72049,0.00036744,0.00036744,0.00036744
2,69.1342,1.29441,2.0345,1.6299,0.64349,0.46649,0.44988,0.25972,1.36037,1.73951,1.72107,0.000723166,0.000723166,0.000723166
3,103.946,1.24193,1.68126,1.56688,0.60742,0.53763,0.59615,0.37032,1.23431,1.44862,1.56161,0.00106423,0.00106423,0.00106423
4,136.16,1.24602,1.55006,1.56308,0.58594,0.61974,0.64005,0.40162,1.1954,1.32506,1.55333,0.00104501,0.00104501,0.00104501
5,168.365,1.21477,1.42586,1.52617,0.86093,0.51738,0.68341,0.4466,1.20214,1.22944,1.51992,0.00102301,0.00102301,0.00102301
6,200.701,1.19854,1.35415,1.50932,0.7087,0.60507,0.69378,0.42679,1.2657,1.14939,1.5517,0.00100101,0.00100101,0.00100101
7,232.996,1.19063,1.3251,1.50741,0.78274,0.6423,0.72911,0.44063,1.27248,1.13116,1.59659,0.000979013,0.000979013,0.000979013
8,265.518,1.16794,1.25655,1.48353,0.75956,0.68267,0.73883,0.4519,1.29041,1.12553,1.57923,0.000957015,0.000957015,0.000957015
9,300.492,1.14934,1.22712,1.47672,0.77516,0.71978,0.78174,0.46527,1.16674,1.01275,1.47743,0.000935018,0.000935018,0.000935018
10,337.906,1.1358,1.178,1.45799,0.78003,0.67541,0.75762,0.46979,1.19337,1.01831,1.51997,0.00091302,0.00091302,0.00091302
11,368.277,1.12452,1.16483,1.45692,0.8648,0.6348,0.77606,0.49031,1.19848,0.97452,1.54137,0.000891022,0.000891022,0.000891022
12,395.628,1.10751,1.11902,1.43992,0.78813,0.7593,0.80328,0.52611,1.15584,0.91101,1.46177,0.000869024,0.000869024,0.000869024
13,422.832,1.09299,1.11382,1.42686,0.78098,0.77364,0.84361,0.55655,1.09045,0.90351,1.42452,0.000847026,0.000847026,0.000847026
14,450.24,1.0827,1.09889,1.42531,0.76058,0.73149,0.81021,0.5078,1.13633,0.90745,1.4739,0.000825029,0.000825029,0.000825029
15,477.686,1.0751,1.05567,1.41357,0.74247,0.75562,0.81391,0.51244,1.11144,0.93385,1.44305,0.000803031,0.000803031,0.000803031
16,505.003,1.06844,1.03374,1.40389,0.86281,0.74234,0.84423,0.5341,1.12212,0.90449,1.44458,0.000781033,0.000781033,0.000781033
17,532.621,1.05481,1.03179,1.40727,0.77013,0.75851,0.82043,0.50613,1.11552,0.9028,1.44809,0.000759035,0.000759035,0.000759035
18,562.766,1.05512,1.00133,1.3954,0.79314,0.7747,0.83431,0.5455,1.10055,0.85879,1.42691,0.000737037,0.000737037,0.000737037
19,592.33,1.03544,0.97824,1.38856,0.81914,0.78322,0.85405,0.56412,1.04069,0.81325,1.38726,0.00071504,0.00071504,0.00071504
20,619.882,1.02128,0.9352,1.3764,0.76417,0.72488,0.80345,0.53433,1.06759,0.93041,1.38135,0.000693042,0.000693042,0.000693042
21,646.966,1.02211,0.96703,1.37408,0.79507,0.80435,0.84473,0.55669,1.0426,0.80913,1.37597,0.000671044,0.000671044,0.000671044
22,674.203,1.00942,0.93323,1.36205,0.85977,0.80391,0.86984,0.56454,1.06001,0.80379,1.38753,0.000649046,0.000649046,0.000649046
23,701.616,0.96842,0.90195,1.35158,0.85859,0.77618,0.85245,0.57087,1.04837,0.80026,1.38463,0.000627048,0.000627048,0.000627048
24,729.118,0.99398,0.91027,1.3517,0.84985,0.78754,0.86911,0.58291,1.06361,0.79099,1.39127,0.000605051,0.000605051,0.000605051
25,756.617,0.98185,0.90969,1.34632,0.86592,0.81685,0.90502,0.59698,1.01166,0.77099,1.34717,0.000583053,0.000583053,0.000583053
26,783.789,0.97027,0.8858,1.34141,0.87065,0.82035,0.88411,0.59489,1.04189,0.75119,1.36147,0.000561055,0.000561055,0.000561055
27,811.334,0.97051,0.86429,1.33138,0.89671,0.77904,0.87678,0.60001,1.05041,0.74054,1.35467,0.000539057,0.000539057,0.000539057
28,839.822,0.96544,0.854,1.3245,0.87907,0.8142,0.89346,0.6038,1.02662,0.7532,1.34644,0.000517059,0.000517059,0.000517059
29,871.312,0.95199,0.8422,1.32371,0.84487,0.80706,0.87997,0.6004,1.03155,0.76986,1.34248,0.000495062,0.000495062,0.000495062
30,900.898,0.94096,0.82999,1.31863,0.87545,0.8427,0.89491,0.61907,0.99658,0.70958,1.32963,0.000473064,0.000473064,0.000473064
31,928.071,0.92813,0.80469,1.30138,0.86499,0.81285,0.86135,0.60838,1.00982,0.72787,1.32758,0.000451066,0.000451066,0.000451066
32,955.531,0.93085,0.8052,1.30245,0.91011,0.80929,0.8818,0.60062,1.01244,0.71682,1.33313,0.000429068,0.000429068,0.000429068
33,982.886,0.92098,0.80255,1.29933,0.89059,0.78572,0.86339,0.58544,1.03385,0.75458,1.36199,0.00040707,0.00040707,0.00040707
34,1010.41,0.91549,0.79214,1.29349,0.8972,0.8026,0.89228,0.58939,1.01453,0.70707,1.34855,0.000385073,0.000385073,0.000385073
35,1037.58,0.92112,0.79034,1.28972,0.91648,0.80159,0.90698,0.61674,1.0109,0.69569,1.34471,0.000363075,0.000363075,0.000363075
36,1065.02,0.90616,0.75903,1.27883,0.90715,0.83398,0.91009,0.62142,1.0242,0.68665,1.34541,0.000341077,0.000341077,0.000341077
37,1092.74,0.88478,0.76188,1.27569,0.90542,0.81791,0.90893,0.62339,1.03085,0.68437,1.33678,0.000319079,0.000319079,0.000319079
38,1120.27,0.88763,0.75325,1.27194,0.86037,0.85161,0.90018,0.62712,1.01472,0.673,1.33633,0.000297081,0.000297081,0.000297081
39,1148.61,0.88712,0.74534,1.26579,0.86417,0.84406,0.89459,0.61466,1.02197,0.70111,1.34386,0.000275084,0.000275084,0.000275084
40,1177.14,0.86467,0.74883,1.26127,0.89961,0.83189,0.89639,0.60182,1.01692,0.68703,1.34238,0.000253086,0.000253086,0.000253086
41,1213.95,0.83526,0.65285,1.30111,0.89995,0.84033,0.90464,0.61923,1.01473,0.71022,1.3481,0.000231088,0.000231088,0.000231088
42,1241.66,0.79996,0.57766,1.26401,0.89166,0.87762,0.91757,0.6364,0.96842,0.66182,1.29849,0.00020909,0.00020909,0.00020909
