epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.7599,1.93721,2.92794,1.88644,0.57168,0.15487,0.20294,0.0762,2.06811,7.31276,2.14381,0.000658537,0.000658537,0.000658537
2,121.002,1.94008,2.57713,1.88447,0.17967,0.2974,0.15786,0.05801,2.124,7.88367,2.22179,0.00129896,0.00129896,0.00129896
3,178.435,2.0153,2.43847,1.99473,0.35468,0.27044,0.22028,0.08084,2.18417,4.06835,2.41512,0.00191299,0.00191299,0.00191299
4,235.073,1.98109,2.29706,1.94293,0.46676,0.40068,0.37565,0.14882,2.04035,4.7171,2.06982,0.0018812,0.0018812,0.0018812
5,297.664,1.9609,2.20013,1.89598,0.44746,0.43033,0.38776,0.15718,1.9795,2.66831,2.06633,0.0018416,0.0018416,0.0018416
6,359.191,1.91927,2.04449,1.87335,0.41952,0.38237,0.33465,0.13716,2.01773,2.65858,2.01582,0.001802,0.001802,0.001802
7,416.807,1.93351,2.07151,1.8648,0.3827,0.39821,0.32757,0.12687,2.06149,2.72039,2.19746,0.0017624,0.0017624,0.0017624
8,486.116,1.88347,1.99465,1.82311,0.62847,0.51942,0.55379,0.24804,1.87572,1.74669,1.906,0.0017228,0.0017228,0.0017228
9,569.594,1.88904,1.91555,1.85296,0.61342,0.51028,0.5377,0.24136,1.90708,2.00959,1.95447,0.0016832,0.0016832,0.0016832
10,659.241,1.86202,1.89574,1.81791,0.61589,0.53906,0.56426,0.23352,1.88985,1.98408,1.90934,0.0016436,0.0016436,0.0016436
11,720.187,1.82205,1.81304,1.77398,0.66635,0.56144,0.62636,0.28711,1.77181,1.96188,1.79942,0.001604,0.001604,0.001604
12,775.89,1.79668,1.79634,1.75036,0.64988,0.51622,0.55465,0.24083,1.88564,2.0228,1.87375,0.0015644,0.0015644,0.0015644
13,825.923,1.78679,1.69429,1.74013,0.71077,0.57972,0.65205,0.29573,1.83108,1.63562,1.87531,0.0015248,0.0015248,0.0015248
14,870.495,1.76899,1.68604,1.73835,0.62334,0.59271,0.63407,0.28666,1.79767,2.48403,1.82294,0.0014852,0.0014852,0.0014852
15,914.726,1.73529,1.64468,1.70642,0.72469,0.6391,0.70004,0.33244,1.73996,1.60153,1.77892,0.0014456,0.0014456,0.0014456
16,959.016,1.76214,1.68761,1.7486,0.7146,0.55916,0.64713,0.29852,1.7769,1.6502,1.82749,0.001406,0.001406,0.001406
17,1003.32,1.72786,1.57123,1.69233,0.77255,0.65601,0.73376,0.34264,1.68513,1.56346,1.74192,0.0013664,0.0013664,0.0013664
18,1047.61,1.69194,1.50657,1.65428,0.76389,0.69613,0.76931,0.37675,1.69349,1.35412,1.69915,0.0013268,0.0013268,0.0013268
19,1108.34,1.70486,1.52093,1.66632,0.75268,0.66834,0.74225,0.37549,1.637,1.4528,1.6928,0.0012872,0.0012872,0.0012872
20,1163.54,1.69722,1.50551,1.65273,0.76537,0.69941,0.76967,0.37887,1.64144,1.52243,1.67727,0.0012476,0.0012476,0.0012476
21,1214.38,1.6656,1.44557,1.66056,0.79211,0.70149,0.78879,0.40839,1.61227,1.25866,1.67836,0.001208,0.001208,0.001208
22,1261.45,1.65501,1.4164,1.63115,0.79148,0.73138,0.80612,0.41123,1.58265,1.43351,1.62518,0.0011684,0.0011684,0.0011684
23,1308.07,1.65475,1.45735,1.62821,0.72466,0.67519,0.74468,0.38216,1.61508,1.38104,1.65879,0.0011288,0.0011288,0.0011288
24,1357.53,1.65371,1.38889,1.62527,0.83515,0.74098,0.82731,0.43438,1.64315,1.16693,1.6809,0.0010892,0.0010892,0.0010892
25,1408.72,1.60729,1.34479,1.61113,0.80417,0.72601,0.80427,0.42996,1.58338,1.18886,1.65024,0.0010496,0.0010496,0.0010496
26,1456.08,1.58841,1.32003,1.59346,0.82518,0.75011,0.83909,0.45558,1.51469,1.10262,1.58198,0.00101,0.00101,0.00101
27,1502.61,1.58961,1.33017,1.60891,0.82157,0.74418,0.83723,0.44585,1.57636,1.16782,1.62922,0.0009704,0.0009704,0.0009704
28,1548.96,1.58736,1.29399,1.58809,0.82253,0.77752,0.85157,0.46492,1.5275,1.21776,1.60734,0.0009308,0.0009308,0.0009308
29,1597.1,1.59175,1.25787,1.60266,0.83692,0.78575,0.8637,0.48064,1.49476,1.02101,1.57768,0.0008912,0.0008912,0.0008912
30,1641.57,1.54726,1.2418,1.55871,0.85594,0.78803,0.87201,0.48581,1.45426,1.03697,1.54633,0.0008516,0.0008516,0.0008516
31,1685.75,1.54524,1.22179,1.55915,0.84743,0.81453,0.88247,0.51435,1.3989,0.98366,1.50071,0.000812,0.000812,0.000812
32,1729.75,1.55019,1.18786,1.55567,0.87604,0.81677,0.89033,0.50285,1.42409,1.00903,1.52178,0.0007724,0.0007724,0.0007724
33,1773.9,1.50322,1.16553,1.53221,0.84966,0.82366,0.89025,0.51655,1.39472,0.9151,1.48917,0.0007328,0.0007328,0.0007328
34,1818.11,1.47007,1.13908,1.51432,0.86407,0.836,0.89936,0.52842,1.38866,0.91245,1.47845,0.0006932,0.0006932,0.0006932
35,1862.29,1.48314,1.10659,1.50359,0.86744,0.84596,0.90173,0.53321,1.37697,0.86813,1.47929,0.0006536,0.0006536,0.0006536
36,1908.91,1.49674,1.13256,1.54791,0.87055,0.86478,0.91381,0.54002,1.35637,0.95362,1.46762,0.000614,0.000614,0.000614
37,1953.7,1.46918,1.1153,1.51614,0.89456,0.84102,0.91319,0.53643,1.36187,0.83127,1.48312,0.0005744,0.0005744,0.0005744
38,1999.22,1.4356,1.07638,1.48663,0.89345,0.8619,0.92574,0.56799,1.30068,0.77172,1.43284,0.0005348,0.0005348,0.0005348
39,2086.14,1.42148,1.06669,1.48867,0.90051,0.84651,0.92253,0.55048,1.33637,0.78137,1.4653,0.0004952,0.0004952,0.0004952
40,2140.4,1.43775,1.0519,1.49808,0.88863,0.85662,0.91894,0.54377,1.34038,0.83286,1.4602,0.0004556,0.0004556,0.0004556
41,2182.23,1.41092,0.93764,1.50729,0.90142,0.87719,0.93176,0.57551,1.27638,0.82449,1.41852,0.000416,0.000416,0.000416
42,2229.82,1.37927,0.88087,1.4989,0.91356,0.86386,0.92875,0.56722,1.28078,0.83649,1.42453,0.0003764,0.0003764,0.0003764
