epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5111,1.94257,2.96136,1.84831,0.6255,0.03974,0.08645,0.03018,1.76894,31.2574,1.92874,0.000658537,0.000658537,0.000658537
2,122.984,1.94373,2.562,1.89616,0.31432,0.23664,0.16629,0.0596,1.91118,12.6318,1.9352,0.00129896,0.00129896,0.00129896
3,174.275,1.99505,2.51455,1.93405,0.38158,0.20603,0.18858,0.06962,1.87199,23.7571,2.07195,0.00191299,0.00191299,0.00191299
4,234.206,2.02611,2.33907,1.99797,0.39239,0.29785,0.25841,0.09839,1.84188,16.5537,1.92974,0.0018812,0.0018812,0.0018812
5,296.699,1.99417,2.28403,1.95185,0.4996,0.40338,0.39796,0.15953,1.69054,8.08233,1.75555,0.0018416,0.0018416,0.0018416
6,360.101,1.95063,2.21102,1.90244,0.48595,0.38237,0.38187,0.14983,1.67666,14.4573,1.72575,0.001802,0.001802,0.001802
7,412.401,1.93295,2.12195,1.89852,0.52472,0.35724,0.38039,0.1548,1.66384,9.89423,1.7323,0.0017624,0.0017624,0.0017624
8,453.665,1.87198,2.05085,1.8277,0.52389,0.43733,0.43957,0.17993,1.61218,4.51235,1.69671,0.0017228,0.0017228,0.0017228
9,495.047,1.87892,1.9719,1.85905,0.52839,0.52672,0.48401,0.21308,1.53799,11.3523,1.601,0.0016832,0.0016832,0.0016832
10,536.01,1.83687,1.89911,1.80081,0.61249,0.52781,0.56798,0.24219,1.59163,2.56238,1.59665,0.0016436,0.0016436,0.0016436
11,577.231,1.82596,1.84193,1.78331,0.63805,0.49794,0.54035,0.23209,1.62295,4.93483,1.66569,0.001604,0.001604,0.001604
12,618.366,1.81414,1.8329,1.76185,0.67141,0.56754,0.6069,0.25934,1.54186,8.08828,1.55553,0.0015644,0.0015644,0.0015644
13,659.499,1.78195,1.75529,1.74755,0.66147,0.57149,0.61188,0.27324,1.56709,4.83486,1.59391,0.0015248,0.0015248,0.0015248
14,700.541,1.78223,1.73038,1.75808,0.69457,0.61078,0.65749,0.31702,1.44568,1.92207,1.5122,0.0014852,0.0014852,0.0014852
15,741.093,1.7646,1.65653,1.72733,0.76052,0.61855,0.70501,0.32655,1.45794,3.77891,1.48846,0.0014456,0.0014456,0.0014456
16,781.486,1.75057,1.69544,1.7411,0.71517,0.5555,0.63816,0.28583,1.51371,1.73072,1.52746,0.001406,0.001406,0.001406
17,821.92,1.73,1.59812,1.69615,0.73833,0.61444,0.70158,0.33119,1.45619,3.43266,1.47876,0.0013664,0.0013664,0.0013664
18,862.572,1.71211,1.56762,1.68263,0.73396,0.59864,0.68313,0.31422,1.51111,5.21996,1.52132,0.0013268,0.0013268,0.0013268
19,903.443,1.70644,1.56089,1.69328,0.78448,0.65017,0.75455,0.37433,1.40507,4.34208,1.44146,0.0012872,0.0012872,0.0012872
20,944.036,1.68185,1.53501,1.66841,0.79556,0.71768,0.78911,0.38942,1.36428,3.07683,1.40329,0.0012476,0.0012476,0.0012476
21,984.791,1.67091,1.52049,1.67613,0.78776,0.72773,0.79823,0.40641,1.37295,2.28731,1.42405,0.001208,0.001208,0.001208
22,1025.46,1.65018,1.4428,1.6609,0.80649,0.72225,0.80503,0.4091,1.3336,2.54504,1.39133,0.0011684,0.0011684,0.0011684
23,1065.99,1.6679,1.46965,1.66118,0.76466,0.6917,0.76304,0.39136,1.36564,1.61856,1.42128,0.0011288,0.0011288,0.0011288
24,1106.78,1.64356,1.38882,1.63276,0.82126,0.69849,0.80012,0.4036,1.38589,1.75077,1.41813,0.0010892,0.0010892,0.0010892
25,1183.52,1.64197,1.42118,1.64419,0.80823,0.71815,0.80171,0.41778,1.35037,2.07217,1.38524,0.0010496,0.0010496,0.0010496
26,1247.68,1.60884,1.38305,1.6047,0.82049,0.76002,0.84255,0.45999,1.28084,2.12781,1.3436,0.00101,0.00101,0.00101
27,1303.11,1.58467,1.33683,1.6051,0.84419,0.75103,0.84832,0.45659,1.2832,2.33128,1.33191,0.0009704,0.0009704,0.0009704
28,1357.34,1.60923,1.34493,1.60044,0.83483,0.71809,0.82382,0.45397,1.26525,1.78397,1.32141,0.0009308,0.0009308,0.0009308
29,1411.6,1.59089,1.31976,1.60061,0.84408,0.77656,0.85872,0.48327,1.24964,1.37536,1.33016,0.0008912,0.0008912,0.0008912
30,1465.41,1.55733,1.28661,1.57484,0.85848,0.79351,0.87191,0.49198,1.24598,1.61723,1.31225,0.0008516,0.0008516,0.0008516
31,1519.81,1.54089,1.22901,1.56288,0.86863,0.81257,0.88547,0.51474,1.18372,1.46793,1.2658,0.000812,0.000812,0.000812
32,1573.98,1.54478,1.19945,1.55878,0.85401,0.81506,0.87888,0.49309,1.20976,1.83008,1.28021,0.0007724,0.0007724,0.0007724
33,1627.76,1.48573,1.18718,1.53072,0.87118,0.82488,0.89756,0.51241,1.20218,2.32492,1.27429,0.0007328,0.0007328,0.0007328
34,1682.37,1.46443,1.1479,1.51208,0.86931,0.83567,0.90652,0.52718,1.18407,2.09424,1.25001,0.0006932,0.0006932,0.0006932
35,1727.42,1.50748,1.14521,1.52971,0.88263,0.85194,0.91296,0.53937,1.1693,1.43105,1.252,0.0006536,0.0006536,0.0006536
36,1770.07,1.4735,1.13614,1.54242,0.88267,0.85231,0.91367,0.54333,1.14947,1.5017,1.22871,0.000614,0.000614,0.000614
37,1812.24,1.46876,1.10415,1.50625,0.89598,0.86386,0.92177,0.55165,1.14022,1.11194,1.23235,0.0005744,0.0005744,0.0005744
38,1854.61,1.44931,1.09895,1.49888,0.8824,0.85351,0.91392,0.54552,1.13337,1.01955,1.22457,0.0005348,0.0005348,0.0005348
39,1896.9,1.43164,1.09013,1.50816,0.89162,0.85692,0.92747,0.56918,1.10899,0.94442,1.2151,0.0004952,0.0004952,0.0004952
40,1939.24,1.41447,1.06274,1.4858,0.89013,0.87392,0.92857,0.57707,1.08204,1.25959,1.19812,0.0004556,0.0004556,0.0004556
41,1978.88,1.39815,0.94334,1.50764,0.90463,0.86569,0.92502,0.56539,1.0985,1.273,1.21406,0.000416,0.000416,0.000416
42,2018.16,1.38346,0.90183,1.50728,0.90012,0.86451,0.92585,0.56617,1.13594,0.88126,1.23689,0.0003764,0.0003764,0.0003764
43,2057.6,1.35882,0.86717,1.47003,0.91585,0.88003,0.94041,0.58824,1.05377,1.12131,1.17363,0.0003368,0.0003368,0.0003368
44,2096.99,1.31808,0.829,1.45488,0.92209,0.90224,0.94952,0.60842,1.00158,0.7685,1.13229,0.0002972,0.0002972,0.0002972
45,2136.33,1.3178,0.82482,1.45202,0.93624,0.88945,0.94832,0.61182,1.0211,0.79132,1.14651,0.0002576,0.0002576,0.0002576
46,2175.95,1.29598,0.82512,1.45577,0.92519,0.89828,0.94943,0.60988,1.01924,1.23284,1.15009,0.000218,0.000218,0.000218
47,2218.11,1.27164,0.78522,1.41944,0.93386,0.8963,0.95154,0.63091,0.96974,0.84579,1.11251,0.0001784,0.0001784,0.0001784
48,2260.11,1.24526,0.7758,1.4108,0.94019,0.90087,0.95724,0.6413,0.94833,0.79056,1.10247,0.0001388,0.0001388,0.0001388
49,2299.99,1.23312,0.76139,1.40911,0.93563,0.90178,0.95702,0.6366,0.96282,0.8393,1.11244,9.92e-05,9.92e-05,9.92e-05
50,2338.95,1.24106,0.76257,1.39937,0.94252,0.90642,0.95832,0.64071,0.95044,0.89685,1.09895,5.96e-05,5.96e-05,5.96e-05
