epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.525,1.3456,2.09441,1.66196,0.52532,0.42296,0.38394,0.18724,1.89994,4.70827,2.13191,0.000475236,0.000475236,0.000475236
2,341.07,1.412,1.75545,1.71656,0.60404,0.47205,0.49167,0.22739,1.91445,4.40898,2.07563,0.000932728,0.000932728,0.000932728
3,498.126,1.42396,1.66491,1.73792,0.57332,0.35716,0.36302,0.18435,1.93343,4.65675,2.21714,0.00137136,0.00137136,0.00137136
4,663.297,1.39117,1.61074,1.71291,0.55302,0.5196,0.53798,0.28967,1.78814,3.13738,2.02417,0.00134412,0.00134412,0.00134412
5,833.873,1.33184,1.48243,1.66722,0.68968,0.58461,0.64427,0.36311,1.69433,2.39171,1.89458,0.00131582,0.00131582,0.00131582
6,1011.62,1.29364,1.39868,1.62521,0.5824,0.54591,0.50057,0.28304,1.73555,2.94756,1.97665,0.00128753,0.00128753,0.00128753
7,1175.58,1.27154,1.34187,1.60614,0.7405,0.63607,0.70919,0.41026,1.61863,2.14165,1.83041,0.00125923,0.00125923,0.00125923
8,1314.77,1.23693,1.28646,1.58491,0.74322,0.62535,0.70724,0.39484,1.60123,2.18152,1.82071,0.00123094,0.00123094,0.00123094
9,1462.22,1.21731,1.25141,1.56217,0.67435,0.64019,0.68108,0.389,1.62469,1.8314,1.85688,0.00120265,0.00120265,0.00120265
10,1609.17,1.20644,1.22105,1.55109,0.78587,0.66164,0.76037,0.45361,1.52125,1.51392,1.74225,0.00117435,0.00117435,0.00117435
11,1732.67,1.19014,1.1751,1.53299,0.76372,0.67826,0.76945,0.45852,1.51779,1.77955,1.72006,0.00114606,0.00114606,0.00114606
12,1879.53,1.16367,1.13468,1.51934,0.70888,0.71351,0.76076,0.44825,1.52454,1.75537,1.7196,0.00111776,0.00111776,0.00111776
13,2043.36,1.163,1.13167,1.51941,0.78098,0.70709,0.7956,0.48373,1.52315,1.56091,1.70053,0.00108947,0.00108947,0.00108947
14,2160.77,1.14725,1.09865,1.50475,0.77299,0.69738,0.77025,0.45722,1.50317,1.69374,1.72596,0.00106118,0.00106118,0.00106118
15,2278.83,1.13581,1.08583,1.50206,0.83236,0.69675,0.81327,0.49592,1.46437,1.41372,1.68269,0.00103288,0.00103288,0.00103288
16,2413.88,1.12186,1.05786,1.48015,0.82859,0.72014,0.82321,0.50042,1.45355,1.42498,1.64656,0.00100459,0.00100459,0.00100459
17,2548.55,1.11413,1.02946,1.47222,0.82393,0.76033,0.84646,0.52647,1.44564,1.30037,1.62655,0.000976293,0.000976293,0.000976293
18,2653.17,1.09886,1.02555,1.47408,0.83507,0.75397,0.84473,0.53828,1.39713,1.30296,1.60605,0.000947999,0.000947999,0.000947999
19,2779.39,1.08455,1.00153,1.4554,0.82742,0.74836,0.8265,0.50991,1.441,1.23955,1.66244,0.000919704,0.000919704,0.000919704
20,2930.21,1.0846,0.98909,1.45523,0.82763,0.78062,0.85813,0.54933,1.38162,1.16669,1.59059,0.00089141,0.00089141,0.00089141
21,3055.22,1.06697,0.96005,1.44334,0.84625,0.78255,0.86589,0.54418,1.39991,1.08915,1.60032,0.000863116,0.000863116,0.000863116
22,3171.92,1.06334,0.95567,1.43574,0.84791,0.77759,0.86468,0.55028,1.35791,1.11783,1.57397,0.000834822,0.000834822,0.000834822
23,3289.41,1.05922,0.94213,1.43011,0.85806,0.78346,0.86193,0.55144,1.36527,1.19271,1.58776,0.000806528,0.000806528,0.000806528
24,3405.86,1.04706,0.93428,1.42437,0.8681,0.7906,0.87081,0.55671,1.33772,1.02578,1.56088,0.000778233,0.000778233,0.000778233
25,3522.48,1.02984,0.9114,1.41457,0.86856,0.79647,0.88197,0.55849,1.3747,1.05449,1.58318,0.000749939,0.000749939,0.000749939
26,3639.72,1.03616,0.90076,1.41021,0.8819,0.80603,0.88083,0.57274,1.31765,0.97005,1.52885,0.000721645,0.000721645,0.000721645
27,3756.04,1.03009,0.8843,1.40086,0.85759,0.79525,0.88702,0.57797,1.30496,1.07779,1.52688,0.000693351,0.000693351,0.000693351
28,3872.52,1.01316,0.86867,1.39335,0.86845,0.82537,0.89449,0.58942,1.30235,0.94299,1.52329,0.000665057,0.000665057,0.000665057
29,3990.77,1.01157,0.85706,1.38674,0.86882,0.81653,0.8871,0.57539,1.33141,0.99077,1.53001,0.000636762,0.000636762,0.000636762
30,4107.66,1.00665,0.84471,1.38282,0.88744,0.82194,0.90625,0.59761,1.27503,0.87496,1.48753,0.000608468,0.000608468,0.000608468
31,4221.42,0.98627,0.82192,1.37392,0.89334,0.82482,0.9023,0.59403,1.3015,0.9249,1.52166,0.000580174,0.000580174,0.000580174
